DESCRIPTION,LOCATION,MANUFACTURER,MODEL,YEAR,FUEL TYPE,KMS DRIVEN,PRICE
Hyundai I10 Sportz 1.2 At Kappa2 (make Year 2010) (petrol),Bengaluru,Hyundai,I10,2010,Petrol,63000,365000
Maruti Suzuki Alto Lxi Bs-iv (make Year 2012) (petrol),Bengaluru,Maruti Suzuki,Alto,2012,Petrol,35000,270000
Hyundai Eon Magna + (make Year 2014) (petrol),Bengaluru,Hyundai,Eon,2014,Petrol,32000,315000
2016 Toyota Etios diesel 37000 Kms,Bengaluru,Toyota,Etios,2016,Diesel,37000,310000
"Honda City VMT,2013 model,single owner,brown colour,51000 km done.",Bengaluru,Honda,City,2013,Petrol,51000,610000
Skoda Rapid,Bengaluru,Skoda,Rapid,2013,Diesel,64750,680000
Hyundai I10 Sportz 1.2 At (make Year 2011) (petrol),Bengaluru,Hyundai,I10,2011,Petrol,415000,415000
Ford Figo Duratorq Diesel Titanium 1.4 (make Year 2014) (pet,Bengaluru,Ford,Figo,2014,Petrol,9000,459000
Hyundai I10 Asta 1.2 Kappa2 (make Year 2011) (petrol),Bengaluru,Hyundai,I10,2011,Petrol,73000,375000
Maruti Suzuki Omni 5 Str Bs-iv (make Year 2010) (petrol),Bengaluru,Maruti Suzuki,Omni,2010,Petrol,23000,200000
2013 Toyota Etios diesel 120000 Kms,Bengaluru,Toyota,Etios,2013,Diesel,120000,550000
Skoda Yeti Elegance 4 X 2 (make Year 2012) (diesel),Bengaluru,Skoda,Yeti,2012,Diesel,105000,750000
Good condition up to date documents,Bengaluru,Mahindra,Xylo,2011,Diesel,135000,350000
Mahindra Scorpio S10 (make Year 2015) (diesel),Bengaluru,Mahindra,Scorpio,2015,Diesel,3500,1385000
Ford Figo Duratec Petrol Zxi 1.2 (make Year 2012) (diesel),Bengaluru,Ford,Figo,2012,Diesel,48000,415000
Ford Figo Duratec Petrol Zxi 1.2 (make Year 2011) (petrol),Bengaluru,Ford,Figo,2011,Petrol,21000,365000
"(used) (570,004)",Bengaluru,Toyota,Etios,2012,Diesel,87500,570004
Hyundai I20 diesel 109000 Kms 2010 year,Bengaluru,Hyundai,I20,2010,Diesel,109000,470000
Maruti Suzuki Ritz Vdi Bs-iv (make Year 2013) (diesel),Bengaluru,Maruti Suzuki,Ritz,2013,Diesel,39000,540000
Toyota Innova 2.5 V 7 Str (make Year 2011) (diesel),Bengaluru,Toyota,Innova,2011,Diesel,91500,1030000
Maruti Suzuki Ertiga Vdi (make Year 2013) (diesel),Bengaluru,Maruti Suzuki,Ertiga,2013,Diesel,70000,730000
Honda Amaze 1.5 S I-dtec (make Year 2014) (diesel),Bengaluru,Honda,Amaze,2014,Diesel,12000,675000
Tata Indica V2 diesel 120000 Kms 2012 year,Bengaluru,Tata,Indica V2,2012,Diesel,120000,180000
Hyundai Verna Fluidic 1.6 Vtvt Sx (make Year 2013) (diesel),Bengaluru,Hyundai,Verna,2013,Diesel,50000,825000
Tata Nano petrol 19257 Kms 2011 year,Bengaluru,Tata,Nano,2011,Petrol,19257,71000
Tata Zest Xma Diesel (make Year 2015) (diesel),Bengaluru,Tata,Zest,2015,Diesel,23300,710000
Chevrolet Others diesel 3600 Kms 2015 year,Bengaluru,Chevrolet,Cruze,2015,Diesel,3600,1800000
For Sale - Hyundai Verna Fluidic 2012,Bengaluru,Hyundai,Verna,2012,Diesel,90000,650000
Mercedes-benz B-class B 200 Cdi (make Year 2013) (diesel),Bengaluru,Mercedes-Benz,B Class,2013,Diesel,40000,2475000
Honda Jazz Vx Mt (make Year 2015) (diesel),Bengaluru,Honda,Jazz,2015,Diesel,14500,950000
Volkswagen Polo diesel TDI,Bengaluru,Volkswagen,Polo,2012,Diesel,69000,447000
Honda Amaze 1.2 Vx I-vtec (make Year 2013) (diesel),Bengaluru,Honda,Amaze,2013,Diesel,37086,670000
Maruti Suzuki Wagon R Vxi With Abs Minor (make Year 2014) (p,Bengaluru,Maruti Suzuki,Wagon R,2014,Petrol,10000,425000
Honda Brio S Mt (make Year 2012) (petrol),Bengaluru,Honda,Brio,2012,Petrol,22000,450000
Chevrolet Cruze Ltz (make Year 2012) (diesel),Bengaluru,Chevrolet,Cruze,2012,Diesel,32000,1225000
Maruti Suzuki Alto Lxi Bs-iv (make Year 2010) (petrol),Bengaluru,Maruti Suzuki,Alto,2010,Petrol,50000,245000
2016 Tata Indica E V2 diesel 41000 Kms,Bengaluru,Tata,Indica E V2,2016,Diesel,41000,190000
Hyundai Santro Xing Gls (make Year 2011) (petrol),Bengaluru,Hyundai,Santro Xing,2011,Petrol,43000,290000
Volkswagen Vento Highline Diesel (make Year 2013) (diesel),Bengaluru,Volkswagen,Vento,2013,Diesel,51892,760000
Tata Manza Aura Quadrajet Bs-iv (make Year 2010) (diesel),Bengaluru,Tata,Manza,2010,Diesel,51000,325000
Etios gd diesel car,Bengaluru,Toyota,Etios,2015,Diesel,40000,255000
Hyundai I20 Asta 1.2 (make Year 2011) (petrol),Bengaluru,Hyundai,I20,2011,Petrol,53000,425000
"Toyota Innova 2.5 V 8 STR (2013)Diesel 62,744 km",Bengaluru,Toyota,Innova,2013,Diesel,62744,950000
Volkswagen Polo Highline1.2l (p) (make Year 2015) (petrol),Bengaluru,Volkswagen,Polo,2015,Petrol,2600,670000
2011 Tata Indica Vista diesel 90000 Kms,Bengaluru,Tata,Indica Vista,2011,Diesel,90000,250000
Toyota Innova 2.0 Gx 8 Str (make Year 2012) (diesel),Bengaluru,Toyota,Innova,2012,Diesel,168000,1225000
Honda City Sv Diesel (make Year 2014) (diesel),Bengaluru,Honda,City,2014,Diesel,22507,950000
Honda Brio S Mt (make Year 2014) (petrol),Bengaluru,Honda,Brio,2014,Petrol,8000,510000
Skoda Laura Ambition 2.0 Tdi Cr Mt (make Year 2013) (diesel),Bengaluru,Skoda,Laura,2013,Diesel,39000,1180000
"(used) (480,000)",Bengaluru,Maruti Suzuki,Swift,2012,Petrol,29400,480000
Hyundai I10 Magna 1.1 Irde2 (make Year 2014) (petrol),Bengaluru,Hyundai,I10,2014,Petrol,21000,460000
Maruti Suzuki Zen Estilo (make Year 2010) (petrol),Bengaluru,Maruti Suzuki,Zen Estilo,2010,Petrol,46000,305000
"Grand i 10 2014 model Diesel version, single",Bengaluru,Hyundai,Grand I 10,2014,Diesel,51000,500000
2013 Honda City petrol 78000 Kms,Bengaluru,Honda,City,2013,Petrol,78000,640000
Hyundai I10 Sportz 1.2 (make Year 2010) (petrol),Bengaluru,Hyundai,I10,2010,Petrol,63000,305000
Volkswagen Polo Trendline 1.2l (d) (make Year 2012) (diesel),Bengaluru,Volkswagen,Polo,2012,Diesel,58000,465000
Maruti Suzuki Alto Lxi Bs-iii (make Year 2010) (petrol),Bengaluru,Maruti Suzuki,Alto,2010,Petrol,59910,260000
Chevrolet Sail U-va 1.2 Lt Abs (make Year 2013) (petrol),Bengaluru,Chevrolet,Sail Uva,2013,Petrol,30000,380000
2010 Honda City petrol 85000 Kms,Bengaluru,Honda,City,2010,Petrol,85000,610000
Maruti Suzuki Swift Vdi (make Year 2012) (diesel),Bengaluru,Maruti Suzuki,Swift,2012,Diesel,52000,495000
2011 Maruti Suzuki Swift diesel 70000 Kms,Bengaluru,Maruti Suzuki,Swift,2011,Diesel,70000,410000
Skoda Rapid 1.6 Mpi Ambition Plus (make Year 2012) (diesel),Bengaluru,Skoda,Rapid,2012,Diesel,40316,645000
"2014 Hyundai Grand I 10 sportz, petrol, driven 2900 Kms only.",Bengaluru,Hyundai,Grand I 10,2014,Petrol,2900,540000
Maruti Suzuki Celerio Zxi (make Year 2015) (petrol),Bengaluru,Maruti Suzuki,Celerio,2015,Petrol,13136,505000
Toyota Innova 2.5 V 8 Str (make Year 2011) (diesel),Bengaluru,Toyota,Innova,2011,Diesel,168319,1175000
Hyundai I20 Magna 1.4 Crdi (make Year 2010) (diesel),Bengaluru,Hyundai,I20,2010,Diesel,62000,385000
Volkswagen Vento Comfortline Petrol (make Year 2010) (petrol,Bengaluru,Volkswagen,Vento,2010,Petrol,46898,540000
Ford Figo Duratec Petrol Titanium 1.2 (make Year 2010) (petr,Bengaluru,Ford,Figo,2010,Petrol,70000,288000
2013 Renault Duster diesel 94000 Kms,Bengaluru,Renault,Duster,2013,Diesel,94000,610000
Maruti Suzuki Ritz Vdi Bs-iv (make Year 2012) (diesel),Bengaluru,Maruti Suzuki,Ritz,2012,Diesel,47208,460000
2015 Toyota Etios diesel 30000 Kms,Bengaluru,Toyota,Etios,2015,Diesel,30000,675000
BMW 5 Series,Bengaluru,BMW,5 Series,2011,Diesel,175000,2000000
Honda City 1.5 V Mt (make Year 2015) (petrol),Bengaluru,Honda,City,2015,Petrol,3779,975000
Maruti Suzuki Swift Vdi (make Year 2012) (diesel),Bengaluru,Maruti Suzuki,Swift,2012,Diesel,53000,490000
Hyundai I10 Sportz 1.2 (make Year 2011) (petrol),Bengaluru,Hyundai,I10,2011,Petrol,13654,395000
Tata Indica Vista Aura + Quadrajet Bs-iii (make Year 2010) (,Bengaluru,Tata,Indica Vista,2010,Diesel,88000,290000
Volkswagen Vento Highline Diesel (make Year 2012) (diesel),Bengaluru,Volkswagen,Vento,2012,Diesel,33000,730000
Mahindra Xuv500 diesel 56000 Kms 2012 year,Bengaluru,Mahindra,Xuv500,2012,Diesel,56000,1235000
Hyundai I20 Sportz 1.2 (make Year 2011) (diesel),Bengaluru,Hyundai,I20,2011,Diesel,50000,485000
Hyundai Santro Xing Gls (make Year 2012) (petrol),Bengaluru,Hyundai,Santro Xing,2012,Petrol,42000,350000
Maruti Suzuki Ritz Vxi Bs-iv (make Year 2011) (petrol),Bengaluru,Maruti Suzuki,Ritz,2011,Petrol,76305,450000
Audi A3 35 Tdi Premium + Sunroof (make Year 2015) (diesel),Bengaluru,Audi,A3,2015,Diesel,7835,2850000
Mahindra Scorpio Sle Bs-iii (make Year 2010) (diesel),Bengaluru,Mahindra,Scorpio,2010,Diesel,84100,640000
Honda Mobilio Rs 2014 Model,Bengaluru,Honda,Mobilio,2014,Diesel,29500,1025000
Hyundai I20 Asta 1.2 (o) (make Year 2011) (petrol),Bengaluru,Hyundai,I20,2011,Petrol,53000,425000
Mahindra Scorpio S6 Plus (make Year 2011) (diesel),Bengaluru,Mahindra,Scorpio,2011,Diesel,94000,550000
Chevrolet Beat Lt Petrol (make Year 2011) (petrol),Bengaluru,Chevrolet,Beat,2011,Petrol,28300,350000
Toyota Fortuner 3.0 4x4 Mt (make Year 2011) (diesel),Bengaluru,Toyota,Fortuner,2011,Diesel,127000,1775000
Mahindra Xylo D4 Bs-iv (make Year 2013) (diesel),Bengaluru,Mahindra,Xylo,2013,Diesel,126028,590000
2015 Maruti Suzuki Ciaz diesel 53000 Kms,Bengaluru,Maruti Suzuki,Ciaz,2015,Diesel,53000,900000
Chevrolet Beat Lt Diesel (make Year 2011) (diesel),Bengaluru,Chevrolet,Beat,2011,Diesel,57000,325000
Maruti Suzuki Alto Lxi Bs-iv (make Year 2011) (petrol),Bengaluru,Maruti Suzuki,Alto,2011,Petrol,27000,260000
Maruti Suzuki Swift Zdi (make Year 2013) (diesel),Bengaluru,Maruti Suzuki,Swift,2013,Diesel,49000,590000
"volkswagn polo very good condition new seat covers, floor mats reverse",Bengaluru,Volkswagen,Polo,2011,Diesel,32000,425000
Mahindra Xuv500 W8 (make Year 2012) (diesel),Bengaluru,Mahindra,Xuv500,2012,Diesel,76358,1175000
Zen estilo vxi 2010 model,Bengaluru,Maruti Suzuki,Zen Estilo,2010,Petrol,57000,233000
Maruti Suzuki Celerio Vxi (make Year 2014) (petrol),Bengaluru,Maruti Suzuki,Celerio,2014,Petrol,22000,440000
Hyundai I10 Magna (make Year 2012) (petrol),Bengaluru,Hyundai,I10,2012,Petrol,67621,390000
Renault Duster 85 Ps Rxl Diesel (make Year 2013) (diesel),Bengaluru,Renault,Duster,2013,Diesel,54741,825000
Volkswagen Polo Highline1.2l (d) (make Year 2012) (diesel),Bengaluru,Volkswagen,Polo,2012,Diesel,65901,545000
VW Vento 1.6l TDI Highline,Bengaluru,Volkswagen,Vento,2013,Diesel,25,775000
Hyundai Eon Era + (make Year 2012) (petrol),Bengaluru,Hyundai,Eon,2012,Petrol,68000,265000
Ford Figo Duratec Petrol Exi 1.2 (make Year 2010) (petrol),Bengaluru,Ford,Figo,2010,Petrol,54000,275000
Skoda Rapid 1.5 Tdi Cr Ambition (make Year 2012) (diesel),Bengaluru,Skoda,Rapid,2012,Diesel,53000,535000
Hyundai I20 Magna 1.4 Crdi (make Year 2013) (diesel),Bengaluru,Hyundai,I20,2013,Diesel,48968,615000
Chevrolet Spark Ls 1.0 Lpg (make Year 2011) (petrol),Bengaluru,Chevrolet,Spark,2011,Petrol,52000,205000
Mahindra E2o T2 (make Year 2016) (electric),Bengaluru,Mahindra,E 20,2016,CNG & Hybrids,7568,450000
2013 Toyota Innova diesel 700000 Kms,Bengaluru,Toyota,Innova,2013,Diesel,700000,1500000
Mahindra Xuv500 W8 (make Year 2012) (diesel),Bengaluru,Mahindra,Xuv500,2012,Diesel,67433,1175000
Maruti Suzuki Wagon R Duo,Bengaluru,Maruti Suzuki,Wagon R Duo,2012,CNG & Hybrids,75000,310000
Maruti Suzuki Sx4 Sx4 Vxi (make Year 2011) (petrol),Bengaluru,Maruti Suzuki,Sx4,2011,Petrol,27000,450000
Maruti Suzuki Swift Dzire Vdi (make Year 2012) (diesel),Bengaluru,Maruti Suzuki,Swift Dzire,2012,Diesel,69000,529000
Tata Safari 4x2 Ex Dicor 2.2 Vtt (make Year 2011) (diesel),Bengaluru,Tata,Safari,2011,Diesel,70000,485000
Maruti Suzuki Swift Vdi (make Year 2010) (diesel),Bengaluru,Maruti Suzuki,Swift,2010,Diesel,86014,450000
Maruti Suzuki Wagon R 1.0 Vxi (make Year 2014) (petrol),Bengaluru,Maruti Suzuki,Wagon R 1.0,2014,Petrol,30928,425000
Hyundai I10 I10 Sportz 1.2 At (make Year 2011) (petrol),Bengaluru,Hyundai,I10,2011,Petrol,49000,400000
Nissan Micra Xl Diesel (make Year 2011) (diesel),Bengaluru,Nissan,Micra,2011,Diesel,34920,485000
2014 Chevrolet Enjoy diesel 100000 Kms,Bengaluru,Chevrolet,Enjoy,2014,Diesel,100000,470000
Maruti Suzuki Ritz Vdi Bs-iv (make Year 2012) (diesel),Bengaluru,Maruti Suzuki,Ritz,2012,Diesel,52000,535000
Maruti Suzuki Swift Ldi (make Year 2010) (diesel),Bengaluru,Maruti Suzuki,Swift,2010,Diesel,60000,350000
Toyota Innova 2.0 Vx 7 Str Bs-iv (make Year 2014) (diesel),Bengaluru,Toyota,Innova,2014,Diesel,86400,1495000
Ford Ecosport Ecosport Titanium 1.0 Ecoboost (make Year 2014,Bengaluru,Ford,Ecosport,2014,Diesel,72000,895000
Maruti Suzuki Swift Vdi (make Year 2011) (diesel),Bengaluru,Maruti Suzuki,Swift,2011,Diesel,63377,495000
Tata Nano Twist Xt (make Year 2014) (petrol),Bengaluru,Tata,Nano,2014,Petrol,9836,235000
Mahindra Xylo diesel 10600 Kms 2013 year,Bengaluru,Mahindra,Xylo,2013,Diesel,10600,580000
Renault Duster 110 Ps Rxz Awd Diesel (make Year 2013) (diese,Bengaluru,Renault,Duster,2013,Diesel,82176,895000
2011 Hyundai Verna diesel 80000 Kms,Bengaluru,Hyundai,Verna,2011,Diesel,80000,625000
Maruti Suzuki Ritz Ritz Vxi Bs-iv (make Year 2014) (petrol),Bengaluru,Maruti Suzuki,Ritz,2014,Petrol,23000,480000
Skoda Rapid 1.5 Tdi Cr Ambition Plus (make Year 2012) (diese,Bengaluru,Skoda,Rapid,2012,Diesel,65535,695000
Maruti Suzuki Swift Vdi (make Year 2011) (diesel),Bengaluru,Maruti Suzuki,Swift,2011,Diesel,62568,515000
Honda City City 1.5 V Mt (make Year 2014) (diesel),Bengaluru,Honda,City,2014,Diesel,45800,1145000
Mahindra Xuv500 W8 2013 (make Year 2013) (diesel),Bengaluru,Mahindra,Xuv500,2013,Diesel,51543,1345000
Mahindra Bolero Zlx Bs Iv (make Year 2014) (diesel),Bengaluru,Mahindra,Bolero,2014,Diesel,28000,735000
Maruti Suzuki Ritz Vdi (abs) Bs-iv (make Year 2013) (diesel),Bengaluru,Maruti Suzuki,Ritz,2013,Diesel,38101,585000
Tata Nano Twist Xt (make Year 2014) (petrol),Bengaluru,Tata,Nano,2014,Petrol,9836,225000
Skoda Yeti Elegance 4 X (make Year 2011) (diesel),Bengaluru,Skoda,Yeti,2011,Diesel,135228,1055000
Volkswagen Polo Polo Highline1.2l D (make Year 2011) (diesel,Bengaluru,Volkswagen,Polo,2011,Diesel,68000,465000
Tata Nano Nano Base (make Year 2012) (petrol),Bengaluru,Tata,Nano,2012,Petrol,24000,95000
2016 Maruti Suzuki Ritz diesel 28000 Kms,Bengaluru,Maruti Suzuki,Ritz,2016,Diesel,28000,530000
2010 Ford Figo petrol 78000 Kms,Bengaluru,Ford,Figo,2010,Petrol,78000,290000
2015 Mahindra Xuv500 diesel 24000 Kms,Bengaluru,Mahindra,Xuv500,2015,Diesel,24000,1730000
Maruti Suzuki Wagon R Vxi Bs-iii (make Year 2015) (petrol),Bengaluru,Maruti Suzuki,Wagon R,2015,Petrol,60000,445000
Hyundai Verna Vgt Crdi Sx (make Year 2010) (diesel),Bengaluru,Hyundai,Verna,2010,Diesel,77000,495000
Hyundai Verna Crdi Vgt 1.5 (make Year 2010) (diesel),Bengaluru,Hyundai,Verna,2010,Diesel,74000,415000
Skoda Rapid Rapid 1.5 Tdi Cr Elegance (make Year 2012) (dies,Bengaluru,Skoda,Rapid,2012,Diesel,66000,650000
Mahindra Xylo Xylo E6 Bs-iv (make Year 2013) (diesel),Bengaluru,Mahindra,Xylo,2013,Diesel,70000,650000
Hyundai I20 I20 Sportz 1.2 (make Year 2012) (petrol),Bengaluru,Hyundai,I20,2012,Petrol,12000,475000
Honda Amaze 1.2 Vx I-vtec (make Year 2015) (petrol),Bengaluru,Honda,Amaze,2015,Petrol,7200,815000
TATA Indica V2,Bengaluru,Tata,Indica V2,2012,Diesel,98000,190000
Hyundai Santa Fe (make Year 2014) (diesel),Bengaluru,Hyundai,Santa Fe,2014,Diesel,25000,2250000
Skoda Rapid Rapid 1.5 Tdi Cr Ambition (make Year 2012) (dies,Bengaluru,Skoda,Rapid,2012,Diesel,51000,625000
Maruti Suzuki Swift Swift Vdi (make Year 2011) (diesel),Bengaluru,Maruti Suzuki,Swift,2011,Diesel,49000,510000
Maruti Suzuki Ritz Zxi Bs-iv (make Year 2013) (petrol),Bengaluru,Maruti Suzuki,Ritz,2013,Petrol,19200,500000
Volkswagen Polo Polo Highline1.2l (p) (make Year 2015) (petr,Bengaluru,Volkswagen,Polo,2015,Petrol,7000,675000
Tata Nano Nano Lx (make Year 2011) (petrol),Bengaluru,Tata,Nano,2011,Petrol,21000,110000
Good condution well maintened,Bengaluru,Maruti Suzuki,Swift Dzire,2011,Petrol,49000,340000
Honda City Vx (make Year 2015) (petrol),Bengaluru,Honda,City,2015,Petrol,7800,1050000
Volkswagen Polo Polo Highline1.2l (p) (make Year 2014) (petr,Bengaluru,Volkswagen,Polo,2014,Petrol,20000,665000
Mahindra Xuv500 Xuv500 W8 (make Year 2012) (diesel),Bengaluru,Mahindra,Xuv500,2012,Diesel,51000,1175000
Skoda Rapid Rapid 1.5 Tdi Cr Active (make Year 2012) (diesel,Bengaluru,Skoda,Rapid,2012,Diesel,51000,610000
Toyota Innova 2.5 Vx 8 Str (make Year 2011) (diesel),Bengaluru,Toyota,Innova,2011,Diesel,82230,1249000
Hyundai I10 Sportz 1.2 (make Year 2010) (petrol),Bengaluru,Hyundai,I10,2010,Petrol,36000,350000
Chevrolet Beat Ls Petrol (make Year 2012) (petrol),Bengaluru,Chevrolet,Beat,2012,Petrol,25000,350000
Hyundai I20 Magna 1.4 Crdi (make Year 2012) (diesel),Bengaluru,Hyundai,I20,2012,Diesel,42800,460000
Maruti Suzuki Wagon R Vxi Bs-iii (make Year 2014) (petrol),Bengaluru,Maruti Suzuki,Wagon R,2014,Petrol,9959,435000
Honda Brio S Mt (make Year 2012) (petrol),Bengaluru,Honda,Brio,2012,Petrol,38000,425000
Maruti Suzuki Ertiga diesel 64000 Kms 2014 year,Bengaluru,Maruti Suzuki,Ertiga,2014,Diesel,64000,740000
Toyota Innova 2.0 Gx 8 Str Bs-iv (make Year 2015) (diesel),Bengaluru,Toyota,Innova,2015,Diesel,5500,1475000
Renault Duster 85 Ps Rxl Diesel (opt) (make Year 2015) (dies,Bengaluru,Renault,Duster,2015,Diesel,12549,985000
Honda City City Vx (make Year 2015) (petrol),Bengaluru,Honda,City,2015,Petrol,3000,925000
Nissan Terrano Xl D Plus (make Year 2014) (diesel),Bengaluru,Nissan,Terrano,2014,Diesel,24400,850000
Honda Brio Ex Mt (make Year 2012) (petrol),Bengaluru,Honda,Brio,2012,Petrol,44000,375000
Skoda Yeti Elegance 2.0 Tdi Cr 4x4 (make Year 2011) (diesel),Bengaluru,Skoda,Yeti,2011,Diesel,135228,1055000
Maruti Suzuki Wagon R Vxi Bs-iii (make Year 2016) (petrol),Bengaluru,Maruti Suzuki,Wagon R,2016,Petrol,6500,475000
Honda City 2014 iDtec Excellent condition Car,Bengaluru,Honda,City,2014,Diesel,55675,815000
Maruti Suzuki Wagon R Vxi Minor (make Year 2014) (petrol),Bengaluru,Maruti Suzuki,Wagon R,2014,Petrol,31533,475000
Toyota Innova 2.5 Vx Bs Iv 7 Str (make Year 2014) (diesel),Bengaluru,Toyota,Innova,2014,Diesel,92784,1425000
Hyundai Grand I10 Sportz 1.2 Kappa Vtvt (make Year 2014) (pe,Bengaluru,Hyundai,Grand I10,2014,Petrol,17167,545000
